id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery_type,RID,profit,address code,departure state
1,Houston,0.2,16.448,2,Central,kariox,Consumer,phone,Standard Class,7981,5.5512,77095,Texas
2,Westland,0,29.7,5,Central,kariox,Consumer,headset,Standard Class,6334,13.365,48185,Michigan
3,Westland,0,14.73,3,Central,qexty,Consumer,shorts,Standard Class,6333,4.8609,48185,Michigan
4,Westland,0,43.92,3,Central,kariox,Consumer,television,Standard Class,6332,12.7368,48185,Michigan
5,Westland,0,66.58,2,Central,kariox,Consumer,laptop,Standard Class,6331,15.9792,48185,Michigan
6,Westland,0.1,247.716,4,Central,kariox,Consumer,battery,Standard Class,6330,93.5816,48185,Michigan
7,Westland,0,19.05,5,Central,kariox,Consumer,headset,Standard Class,6329,8.9535,48185,Michigan
8,Westland,0,272.94,3,Central,qexty,Consumer,shorts,Standard Class,6328,30.0234,48185,Michigan
9,Smyrna,0.7,67.194,1,South,kariox,Corporate,headset,Standard Class,7121,-51.5154,37167,Tennessee
10,Westland,0,13.98,1,Central,kariox,Consumer,laptop,Standard Class,6327,4.0542,48185,Michigan
11,Jonesboro,0,1067.94,3,South,qexty,Consumer,tshirts,Standard Class,1127,224.2674,72401,Arkansas
12,Jonesboro,0,23.34,3,South,kariox,Consumer,watch,Standard Class,1126,10.9698,72401,Arkansas
13,Jonesboro,0,6.63,3,South,kariox,Consumer,television,Standard Class,1125,1.7901,72401,Arkansas
14,Jonesboro,0,38.6,4,South,qexty,Consumer,shorts,Standard Class,1124,11.58,72401,Arkansas
15,Jonesboro,0,22.96,7,South,kariox,Consumer,television,Standard Class,1123,6.6584,72401,Arkansas
16,Jonesboro,0,699.93,7,South,fynota,Consumer,colddrinks,Standard Class,1122,181.9818,72401,Arkansas
17,Scottsdale,0.7,181.47,5,West,qexty,Consumer,pants,First Class,5466,-320.597,85254,Arizona
18,Los Angeles,0,19.36,2,West,kariox,Consumer,phone,Standard Class,5737,9.2928,90049,California
19,Scottsdale,0.2,108.72,5,West,kariox,Consumer,watch,First Class,5465,36.693,85254,Arizona
20,Miami,0.2,25.248,3,South,qexty,Consumer,shorts,Second Class,9990,4.1028,33180,Florida
21,Lafayette,0,5.94,3,Central,kariox,Consumer,lighting,Standard Class,9887,0,47905,Indiana
22,Mission Viejo,0.15,290.666,2,West,qexty,Consumer,pants,First Class,3366,3.4196,92691,California
23,Detroit,0,229.94,2,Central,kariox,Consumer,laptop,Standard Class,6389,6.8982,48234,Michigan
24,Detroit,0,10.56,2,Central,kariox,Consumer,phone,Standard Class,6388,4.752,48234,Michigan
25,New York City,0.2,3.928,1,East,kariox,Consumer,headset,Standard Class,3084,1.3257,10024,New York
26,San Diego,0,36.44,4,West,kariox,Consumer,television,Standard Class,3797,12.0252,92037,California
27,San Diego,0.2,333,3,West,qexty,Consumer,hoodies,Standard Class,3796,-16.65,92037,California
28,San Diego,0,57.23,1,West,kariox,Consumer,laptop,Standard Class,3795,14.3075,92037,California
29,Las Vegas,0,40.08,6,West,kariox,Consumer,phone,Standard Class,9156,19.2384,89115,Nevada
30,Rapid City,0,141.96,2,Central,qexty,Corporate,pants,First Class,8151,39.7488,57701,South Dakota
31,Alexandria,0,187.98,2,South,fynota,Home Office,colddrinks,Standard Class,2585,52.6344,22304,Virginia
